Entity Name,Gene Symbol,EnsemblId(GRch37),Phenotypes
A2ML1,A2ML1,ENSG00000166535,
AAAS,AAAS,ENSG00000094914,ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME
AARS,AARS,ENSG00000090861,EARLY-ONSET EPILEPTIC ENCEPHALOPATHY WITH PERSISTENT MYELINATION DEFECT.
AARS2,AARS2,ENSG00000124608,
AASS,AASS,ENSG00000008311,HYPERLYSINEMIA
ABAT,ABAT,ENSG00000183044,GABA-transaminase deficiency 613163
ABCA1,ABCA1,ENSG00000165029,
ABCA12,ABCA12,ENSG00000144452,"Ichthyosis, congenital, autosomal recessive 242500"
ABCA3,ABCA3,,
ABCA4,ABCA4,,
ABCB11,ABCB11,ENSG00000073734,ABCB11-RELATED INTRAHEPATIC CHOLESTASIS
ABCB4,ABCB4,ENSG00000005471,"Neonatal and Adult Cholestasis;Cholestasis, intrahepatic, of pregnancy, 3, 614972;Cholestasis, progressive familial intrahepatic 3, 602347;Cholestasis, Progressive Familial Intrahepatic 3;Familial Intrahepatic Cholestasis;Progressive Familial Intrahepatic Cholestasis;cholelithiasis;gallstones;modifier in other forms of genetic cholestasis;PFIC;PFIC3"
ABCB6,ABCB6,ENSG00000115657,"MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 7 614497"
ABCB7,ABCB7,ENSG00000131269,"ANEMIA, SIDEROBLASTIC, WITH ATAXIA"
ABCC2,ABCC2,ENSG00000023839,"Dubin-Johnson syndrome, 237500;Cholestasis;intrahepatic cholestasis of pregnancy;modifier in biliary atresia;Dubin Johnson syndrome"
ABCC6,ABCC6,ENSG00000091262,"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2"
ABCC8,ABCC8,ENSG00000006071,"Hyperinsulinemic hypoglycemia, familial 256450"
ABCC9,ABCC9,ENSG00000069431,CANTU SYNDROME HYPERTRICHOTIC OSTEOCHONDRODYSPLASIA
ABCD1,ABCD1,ENSG00000101986,"ADRENOLEUKODYSTROPHY, X-LINKED"
ABCD3,ABCD3,ENSG00000117528,"Bile acid synthesis defect, congenital, 5	616278"
ABCD4,ABCD4,ENSG00000119688,"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, CBLJ TYPE"
ABCG2,ABCG2,ENSG00000118777,"Primary idiopathic gout (Disorders of purine metabolism);[Junior blood group system] 614490;[Uric acid concentration, serum, QTL1] 138900"
ABCG5,ABCG5,ENSG00000138075,Sitosterolemia 210250
ABCG8,ABCG8,ENSG00000143921,Sitosterolemia 210250;intrahepatic cholestasis of pregnancy
ABHD12,ABHD12,ENSG00000100997,
ABHD5,ABHD5,ENSG00000011198,CHANARIN-DORFMAN SYNDROME
ABL1,ABL1,ENSG00000097007,Congenital heart defects and skeletal malformations
ACAD8,ACAD8,ENSG00000151498,
ACAD9,ACAD9,ENSG00000177646,ACYL-COA DEHYDROGENASE FAMILY MEMBER TYPE 9 DEFICIENCY
ACADL,ACADL,,
ACADM,ACADM,ENSG00000117054,MEDIUM CHAIN ACYL-COENZYME A DEHYDROGENASE DEFICIENCY
ACADS,ACADS,ENSG00000122971,SHORT CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY
ACADSB,ACADSB,ENSG00000196177,
ACADVL,ACADVL,ENSG00000072778,VERY LONG CHAIN ACYL-COENZYME A DEHYDROGENASE DEFICIENCY
ACAN,ACAN,ENSG00000157766,SPONDYLOEPIPHYSEAL DYSPLASIA TYPE KIMBERLEY;SPONDYLOEPIMETAPHYSEAL DYSPLASIA AGGRECAN TYPE
ACAT1,ACAT1,ENSG00000075239,ALPHA-METHYLACETOACETIC ACIDURIA
ACBD5,ACBD5,ENSG00000107897,Cleft palate
ACBD6,ACBD6,ENSG00000230124,Intellectual disability
